source,subset,protocol_level_1,protocol_level_2,seed,model_count,spearman_rho,kendall_tau_b,rmse_winner,nasa_winner,winner_conflict,discordant_model_pairs,tie_affected_model_pairs
unified_grid,FD002,point,not_applicable,53,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD002,point,not_applicable,71,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD002,quantile,not_applicable,11,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD002,quantile,not_applicable,23,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD002,quantile,not_applicable,37,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD002,quantile,not_applicable,53,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD002,quantile,not_applicable,71,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD003,point,not_applicable,11,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD003,point,not_applicable,23,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD003,point,not_applicable,37,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD003,point,not_applicable,53,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD003,point,not_applicable,71,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD003,quantile,not_applicable,11,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD003,quantile,not_applicable,23,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD003,quantile,not_applicable,37,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD003,quantile,not_applicable,53,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD003,quantile,not_applicable,71,4,1.0,1.0,transformer,transformer,False,0,0
unified_grid,FD004,point,not_applicable,11,4,0.7999999999999999,0.6666666666666669,lightgbm,lightgbm,False,1,0
unified_grid,FD004,point,not_applicable,23,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD004,point,not_applicable,37,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD004,point,not_applicable,53,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD004,point,not_applicable,71,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD004,quantile,not_applicable,11,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD004,quantile,not_applicable,23,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD004,quantile,not_applicable,37,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD004,quantile,not_applicable,53,4,1.0,1.0,lightgbm,lightgbm,False,0,0
unified_grid,FD004,quantile,not_applicable,71,4,1.0,1.0,lightgbm,lightgbm,False,0,0
