subset,output_mode,model,seed_count,mean_rmse,sd_rmse,median_rmse,min_rmse,max_rmse,range_rmse,coefficient_of_variation,bootstrap_ci95_low,bootstrap_ci95_high,mean_rank,sd_rank,first_place_count
FD001,point,lstm,5,29.643857223503886,10.583818819092585,28.543073533696052,17.83997374323132,40.42947479775951,22.589501054528192,0.3570324448432755,21.238019140861716,38.04969530614606,3.6,0.5477225575051661,0
FD001,point,cnn_1d,5,21.741065558668094,0.3588759224215254,21.822022009031542,21.12630685322562,22.02924845074858,0.9029415975229576,0.016506823065001185,21.42133420800232,21.963099166516095,3.4,0.5477225575051661,0
FD001,point,transformer,5,13.654120671798676,0.5340056570546738,13.476341472666611,13.210167552766944,14.578039920274854,1.3678723675079105,0.039109487157061175,13.337888477142911,14.137360541231555,1.2,0.4472135954999579,4
FD001,point,lightgbm,5,13.748668171558908,0.0,13.748668171558908,13.748668171558908,13.748668171558908,0.0,0.0,13.748668171558908,13.748668171558908,1.8,0.4472135954999579,1
FD001,quantile,lstm,5,40.723600955877956,0.024025262402146468,40.71323554400283,40.69663460983739,40.75494500194469,0.05831039210730182,0.0005899591843112467,40.70578191858757,40.74360492588779,4.0,0.0,0
FD001,quantile,cnn_1d,5,22.78017621511365,0.7078749880624409,22.637408720879964,22.0200026914838,23.59951927982774,1.5795165883439388,0.031074166476060743,22.222399495041113,23.337952935186184,3.0,0.0,0
FD001,quantile,transformer,5,14.903927147319937,0.559502127598456,14.748906923424425,14.132820685275691,15.468957461717412,1.3361367764417214,0.03754058390570348,14.495539025083497,15.315164610266876,1.2,0.4472135954999579,4
FD001,quantile,lightgbm,5,15.463244069980892,1.9860273225978185e-15,15.46324406998089,15.46324406998089,15.46324406998089,0.0,1.2843536023940367e-16,15.463244069980892,15.463244069980892,1.8,0.4472135954999579,1
FD002,point,lstm,5,43.514762785769435,0.01606496310628266,43.51068885178133,43.49514187676558,43.533772472417084,0.03863059565150451,0.000369184205033432,43.50248991730607,43.52710562902688,4.0,0.0,0
FD002,point,cnn_1d,5,23.56282727894938,0.21252043721015385,23.45673279666044,23.420395379167942,23.921561702899396,0.5011663237314536,0.009019309724347719,23.42870765528833,23.75550392863252,2.6,0.5477225575051661,0
FD002,point,transformer,5,28.255384335100604,13.554041564615725,19.411451041885392,17.664807476194493,43.20752397692576,25.54271650073127,0.4796976535115839,18.159975132785668,38.35079353741555,2.4,0.5477225575051661,0
FD002,point,lightgbm,5,16.59101425784136,0.0,16.59101425784136,16.59101425784136,16.59101425784136,0.0,0.0,16.59101425784136,16.59101425784136,1.0,0.0,5
FD002,quantile,lstm,5,43.56687032317034,0.09451504576793644,43.527846291089446,43.51989098241548,43.73574103207957,0.21585004966408405,0.0021694247272490016,43.521668015090356,43.65161928130118,3.4,0.5477225575051661,0
FD002,quantile,cnn_1d,5,24.998103176215484,0.5798342571117934,25.120997183900663,24.31881846245405,25.69978356560586,1.3809651031518086,0.023195130167455197,24.550938698666045,25.445267653764915,2.4,0.5477225575051661,0
FD002,quantile,transformer,5,34.55007446535956,13.418862379037627,44.13886416566608,19.375740364728234,44.54191262922659,25.166172264498353,0.3883888120846624,24.564215252272316,44.38758721675688,3.2,1.0954451150103321,0
FD002,quantile,lightgbm,5,17.224200957740607,0.0,17.224200957740607,17.224200957740607,17.224200957740607,0.0,0.0,17.224200957740607,17.224200957740607,1.0,0.0,5
FD003,point,lstm,5,37.75017002647868,9.300055101042853,41.90410158206236,21.11373593151772,41.925841091756574,20.812105160238854,0.24635796592491158,29.42967586432199,41.91595262579212,3.8,0.4472135954999579,0
FD003,point,cnn_1d,5,22.29201623062542,0.07917075480854152,22.27752081956529,22.20664118784429,22.395351109338442,0.18870992149415144,0.0035515295695763235,22.230798436619317,22.353324272878883,3.2,0.4472135954999579,0
FD003,point,transformer,5,13.3856647164516,0.34389422261159586,13.362920092885087,12.998690557207674,13.751303268996022,0.7526127117883483,0.025691232366587963,13.112464207660874,13.658865225242327,1.0,0.0,5
FD003,point,lightgbm,5,14.912520315888946,0.0,14.912520315888946,14.912520315888946,14.912520315888946,0.0,0.0,14.912520315888946,14.912520315888946,2.0,0.0,0
FD003,quantile,lstm,5,41.78010850312361,0.13040339346255367,41.72328967865222,41.68366656661809,42.00710679685171,0.323440230233615,0.0031211836956527845,41.70544481894645,41.89463315784947,4.0,0.0,0
FD003,quantile,cnn_1d,5,22.325512259028976,0.47727368156559913,22.175071572646036,21.932236486571618,23.098713313457978,1.1664768268863597,0.021377949855219028,21.998540439934438,22.734667504494674,3.0,0.0,0
FD003,quantile,transformer,5,14.395483775928975,0.7156195751881779,14.128811567086332,13.515637670250836,15.214022647885933,1.6983849776350972,0.04971139465175753,13.859967841138646,14.952202987615914,1.0,0.0,5
FD003,quantile,lightgbm,5,17.448382164845107,0.0,17.448382164845107,17.448382164845107,17.448382164845107,0.0,0.0,17.448382164845107,17.448382164845107,2.0,0.0,0
FD004,point,lstm,5,43.87931231519884,0.011425972292697211,43.88577965218462,43.86187838107184,43.88932651180193,0.027448130730093112,0.00026039542759058925,43.86904243483026,43.8872629199714,4.0,0.0,0
FD004,point,cnn_1d,5,28.320559031115515,0.7448920542388755,27.990113661654934,27.65720291066432,29.560166481325023,1.9029635706607024,0.026302166331549814,27.849022690725793,28.95254349425,2.8,0.44721359549995787,0
FD004,point,transformer,5,26.209202897973363,9.748142099480349,21.69293035071874,21.113483605473615,43.58915730852383,22.475673703050216,0.3719358477794122,21.366667734318373,35.014935640246556,2.2,0.44721359549995787,0
FD004,point,lightgbm,5,17.89413301052379,0.0,17.89413301052379,17.89413301052379,17.89413301052379,0.0,0.0,17.89413301052379,17.89413301052379,1.0,0.0,5
FD004,quantile,lstm,5,43.67570219930078,0.07697632437229238,43.7034733690332,43.54079609616078,43.726725913426,0.18592981726521884,0.0017624519010829944,43.60598078127326,43.71953869449159,3.2,0.4472135954999579,0
FD004,quantile,cnn_1d,5,29.382457956464226,0.6560310559485822,29.34135129756904,28.396447028862482,30.123835825598498,1.7273887967360153,0.022327303485658645,28.867263818818078,29.88443262141731,2.2,0.4472135954999579,0
FD004,quantile,transformer,5,41.82399063012993,9.85929480984296,46.063275596302084,24.198888415009677,46.647466345987475,22.448577930977798,0.23573300063672883,32.96139760767589,46.46450335837374,3.6,0.8944271909999159,0
FD004,quantile,lightgbm,5,21.887859140370217,0.0,21.887859140370217,21.887859140370217,21.887859140370217,0.0,0.0,21.887859140370217,21.887859140370217,1.0,0.0,5
