subset,output_mode,seed_count,model_count,kendalls_w,friedman_q,exact_permutation_p,holm_adjusted_p,holm_reject_0_05
FD001,point,5,4,0.84,12.6,0.0006359712577160494,0.0019079137731481482,True
FD001,quantile,5,4,0.9359999999999999,14.04,4.8225308641975306e-05,0.00033757716049382714,True
FD002,point,5,4,0.904,13.56,0.000138647762345679,0.000554591049382716,True
FD002,quantile,5,4,0.712,10.68,0.00545850212191358,0.00545850212191358,True
FD003,point,5,4,0.9359999999999999,14.04,4.8225308641975306e-05,0.00033757716049382714,True
FD003,quantile,5,4,1.0,15.0,3.0140817901234566e-06,2.4112654320987653e-05,True
FD004,point,5,4,0.9359999999999999,14.04,4.8225308641975306e-05,0.00033757716049382714,True
FD004,quantile,5,4,0.8079999999999999,12.12,0.001359350887345679,0.002718701774691358,True
