subset,model,paired_seed_count,mean_quantile_minus_point_rmse,median_quantile_minus_point_rmse,sd_quantile_minus_point_rmse,quantile_lower_rmse_seed_count,mean_quantile_minus_point_nasa_score,median_quantile_minus_point_nasa_score,sd_quantile_minus_point_nasa_score,quantile_lower_nasa_seed_count
FD001,cnn_1d,5,1.0391106564455534,0.8936958382581786,0.6709038268953019,0,-552.4711657798846,92.58581451967848,1532.9853491292656,2
FD001,lightgbm,5,1.714575898421982,1.714575898421982,0.0,0,234.42102841084989,234.42102841084989,0.0,0
FD001,lstm,5,11.079743732374066,12.198913675278696,10.577625723651556,0,12749.495128194847,17696.805776628862,8598.835823553638,0
FD001,transformer,5,1.2498064755212592,1.3081172571829853,0.4831440321626133,0,110.3739213288598,108.30487351382976,73.16151027167588,0
FD002,cnn_1d,5,1.435275897266098,1.697989823178002,0.5073167678959191,0,472.8028249853369,526.1583620377514,675.178158099228,1
FD002,lightgbm,5,0.6331866998992481,0.6331866998992481,0.0,0,921.8824478209332,921.8824478209331,1.2710574864626038e-13,0
FD002,lstm,5,0.052107537400911494,0.009202130634150762,0.10565229142881132,1,1903.8168023780017,341.1135176847747,3853.503345089849,1
FD002,transformer,5,6.294690130258951,2.3068270025173483,20.667082547016864,1,32795.57590842613,27407.07915070506,64920.159907059395,1
FD003,cnn_1d,5,0.03349602840355672,-0.0315696151982543,0.4895062787149508,3,183.6306778633172,253.57657999890125,414.48530031614257,2
FD003,lightgbm,5,2.535861848956161,2.535861848956161,0.0,0,947.8716169717924,947.8716169717924,0.0,0
FD003,lstm,5,4.0299384766449275,-0.1576622596824393,9.246922939782165,3,5871.456382442632,-1604.2249820727375,15551.707423580214,3
FD003,transformer,5,1.0098190594773737,0.7069560561675274,0.7225605233260194,0,491.1376736802067,345.81144769495114,481.8858481122766,0
FD004,cnn_1d,5,1.0618989253487072,0.9163361809584352,0.6272921823855984,0,811.6695746324974,597.8321454100242,2778.8886394345104,2
FD004,lightgbm,5,3.9937261298464257,3.9937261298464257,0.0,0,3545.670671406191,3545.670671406191,0.0,0
FD004,lstm,5,-0.20361011589805997,-0.1824675930010642,0.08103427840649348,5,-8778.078045547465,-7842.955907575713,3540.3542098970656,5
FD004,transformer,5,15.614787732156561,24.035238190835834,12.504312359865446,0,137623.21324701875,167807.4205707296,86012.51605228042,1
