subset,model,seed,rmse_point,rmse_quantile,nasa_score_point,nasa_score_quantile,quantile_minus_point_rmse,quantile_minus_point_nasa_score
FD001,cnn_1d,11,21.822022009031542,23.59951927982774,4642.525341709678,2277.2016275974397,1.7774972707961965,-2365.3237141122386
FD001,cnn_1d,23,21.957340963764498,22.637408720879964,2655.0076142869675,2747.593428806646,0.6800677571154665,92.58581451967848
FD001,cnn_1d,37,21.770409516570233,23.426658697697732,3731.16100950327,1772.440178144527,1.6562491811274995,-1958.7208313587432
FD001,cnn_1d,53,21.12630685322562,22.0200026914838,3340.7926171446743,4526.592834635148,0.8936958382581786,1185.800217490474
FD001,cnn_1d,71,22.02924845074858,22.217291685679005,5130.312004363536,5413.614688924943,0.18804323493042574,283.30268456140675
FD001,lightgbm,11,13.748668171558908,15.46324406998089,334.4850757331112,568.9061041439611,1.714575898421982,234.42102841084989
FD001,lightgbm,23,13.748668171558908,15.46324406998089,334.4850757331112,568.9061041439611,1.714575898421982,234.42102841084989
FD001,lightgbm,37,13.748668171558908,15.46324406998089,334.4850757331112,568.9061041439611,1.714575898421982,234.42102841084989
FD001,lightgbm,53,13.748668171558908,15.46324406998089,334.4850757331112,568.9061041439611,1.714575898421982,234.42102841084989
FD001,lightgbm,71,13.748668171558908,15.46324406998089,334.4850757331112,568.9061041439611,1.714575898421982,234.42102841084989
FD001,lstm,11,28.543073533696052,40.74198720897475,2803.7103997862678,20500.51617641513,12.198913675278696,17696.805776628862
FD001,lstm,23,20.983537342074936,40.71323554400283,571.2756486327758,20189.25137918239,19.729698201927892,19617.975730549617
FD001,lstm,37,40.42947479775951,40.75494500194469,16988.688962332908,20640.420697459234,0.32547020418518,3651.7317351263264
FD001,lstm,53,17.83997374323132,40.711202414630115,480.7970527747419,20167.206927392162,22.871228671398796,19686.40987461742
FD001,lstm,71,40.423226700757624,40.69663460983739,16914.221902641722,20008.77442669373,0.273407909079765,3094.5525240520074
FD001,transformer,11,13.58259825474712,15.437377250461312,330.79959484024806,555.0986557572137,1.8547789957141916,224.29906091696563
FD001,transformer,23,13.210167552766944,14.748906923424425,312.3106993758788,420.6155728897086,1.5387393706574812,108.30487351382976
FD001,transformer,37,14.578039920274854,15.468957461717412,466.23464514820023,535.4453389101069,0.8909175414425583,69.21069376190667
FD001,transformer,53,13.423456158537855,14.73157341572084,329.85431232954744,450.8929747817398,1.3081172571829853,121.03866245219234
FD001,transformer,71,13.476341472666611,14.132820685275691,317.74427751086796,346.7605935102726,0.6564792126090797,29.01631599940464
FD002,cnn_1d,11,23.592439155296475,24.31881846245405,5879.652209165174,6419.849003417814,0.7263793071575755,540.1967942526398
FD002,cnn_1d,23,23.45673279666044,25.352886976856094,6430.329495986136,5872.9999333222495,1.896154180195655,-557.3295626638865
FD002,cnn_1d,37,23.921561702899396,25.69978356560586,6685.887076619807,7200.215472577201,1.778221862706463,514.3283959573937
