subset,model,output_mode,seed_count,mean_rmse,sd_rmse,mean_nasa_score,sd_nasa_score,mean_training_seconds
FD001,transformer,point,5,13.654120671798676,0.5340056570546737,351.3887058409485,64.68436735025305,37.22596857999743
FD001,lightgbm,point,5,13.748668171558908,0.0,334.4850757331112,0.0,20.15909199999296
FD001,cnn_1d,point,5,21.741065558668094,0.3588759224215251,3899.959717401625,994.514585775888,10.79775824000535
FD001,lstm,point,5,29.643857223503886,10.583818819092585,7551.738793233683,8631.06272285012,17.696978319998017
FD001,transformer,quantile,5,14.903927147319937,0.5595021275984566,461.7626271698083,85.407045093875,31.11665007999691
FD001,lightgbm,quantile,5,15.463244069980892,0.0,568.9061041439611,0.0,49.38590586000064
FD001,cnn_1d,quantile,5,22.78017621511365,0.7078749880624431,3347.488551621741,1552.846560544213,7.996957139999722
FD001,lstm,quantile,5,40.723600955877956,0.024025262402146235,20301.23392142853,260.1907795952404,20.77296467999986
FD002,lightgbm,point,5,16.59101425784136,0.0,1237.334075786387,0.0,52.38607355999993
FD002,cnn_1d,point,5,23.56282727894938,0.21252043721015443,6215.130542861836,361.71077888165075,50.81113939999777
FD002,transformer,point,5,28.255384335100608,13.554041564615726,24657.538033286684,31126.66942359198,100.91037748000235
FD002,lstm,point,5,43.51476278576943,0.016064963106282647,63755.858571729135,595.0491707114799,41.60852411999658
FD002,lightgbm,quantile,5,17.224200957740607,0.0,2159.21652360732,0.0,124.36907207999612
FD002,cnn_1d,quantile,5,24.99810317621548,0.5798342571117937,6687.933367847172,689.781814215627,54.89116413999873
FD002,transformer,quantile,5,34.55007446535956,13.418862379037627,57453.113941712814,50392.091246860546,73.57182264000294
FD002,lstm,quantile,5,43.566870323170335,0.09451504576793562,65659.67537410713,3440.4099080367996,25.682683760000508
FD003,transformer,point,5,13.3856647164516,0.3438942226115958,362.24394621005774,68.64513696525113,61.42798936000035
FD003,lightgbm,point,5,14.912520315888946,0.0,647.6170615190532,0.0,25.232204680002177
FD003,cnn_1d,point,5,22.29201623062542,0.07917075480854115,2878.329713097227,159.41981613009497,17.162788859999274
FD003,lstm,point,5,37.750170026478685,9.300055101042853,29892.974614167266,16049.053416760315,28.23182747999963
FD003,transformer,quantile,5,14.395483775928975,0.7156195751881778,853.3816198902645,521.1261765665411,54.06995868000085
FD003,lightgbm,quantile,5,17.448382164845107,0.0,1595.4886784908456,0.0,71.19229385999787
FD003,cnn_1d,quantile,5,22.325512259028976,0.47727368156559824,3061.9603909605444,295.83582336162806,15.625197820001631
FD003,lstm,quantile,5,41.780108503123614,0.13040339346255403,35764.430996609895,1328.5475143039555,24.96005741999543
FD004,lightgbm,point,5,17.89413301052379,0.0,2030.2535108630323,0.0,43.30170280000311
FD004,transformer,point,5,26.209202897973363,9.748142099480349,23481.57783219884,40465.36482734667,109.02147171999677
FD004,cnn_1d,point,5,28.320559031115515,0.7448920542388757,13998.600945459626,2826.013691190181,54.68057875999657
FD004,lstm,point,5,43.87931231519884,0.011425972292697602,88714.09836105054,489.01355267613906,33.33795037999808
FD004,lightgbm,quantile,5,21.887859140370217,0.0,5575.924182269224,0.0,115.01884487999487
FD004,cnn_1d,quantile,5,29.382457956464226,0.6560310559485822,14810.270520092125,1557.0113659337164,58.715747760000525
FD004,transformer,quantile,5,41.82399063012993,9.85929480984296,161104.79107921757,87929.64675659925,49.77546399999701
FD004,lstm,quantile,5,43.67570219930078,0.07697632437229336,79936.02031550308,3367.158466041009,31.450156880001305
