run_id,dataset,model,sensor_set,seed,training_label,common_truth,rmse,engine_count,prediction_clipping
kill_v1__fd001__lstm__linear_uncapped__common_14__seed71,FD001,lstm,common_14,71,linear_uncapped,piecewise_125,43.588293909822276,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed11,FD001,cnn_1d,all_21,11,piecewise_125,raw_rul,22.166517352605634,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed11,FD001,cnn_1d,all_21,11,piecewise_125,piecewise_125,21.164176809697473,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed23,FD001,cnn_1d,all_21,23,piecewise_125,raw_rul,21.709630169078125,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed23,FD001,cnn_1d,all_21,23,piecewise_125,piecewise_125,20.61200905742385,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed37,FD001,cnn_1d,all_21,37,piecewise_125,raw_rul,22.87221671216418,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed37,FD001,cnn_1d,all_21,37,piecewise_125,piecewise_125,21.86964016845576,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed53,FD001,cnn_1d,all_21,53,piecewise_125,raw_rul,23.03794307234567,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed53,FD001,cnn_1d,all_21,53,piecewise_125,piecewise_125,22.039509983797934,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed71,FD001,cnn_1d,all_21,71,piecewise_125,raw_rul,22.423818522226593,100,none
kill_v1__fd001__cnn_1d__piecewise_125__all_21__seed71,FD001,cnn_1d,all_21,71,piecewise_125,piecewise_125,21.40266932164372,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed11,FD001,cnn_1d,common_14,11,piecewise_125,raw_rul,22.87683132559911,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed11,FD001,cnn_1d,common_14,11,piecewise_125,piecewise_125,21.822022009031542,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed23,FD001,cnn_1d,common_14,23,piecewise_125,raw_rul,23.039358068912748,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed23,FD001,cnn_1d,common_14,23,piecewise_125,piecewise_125,21.957340963764498,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed37,FD001,cnn_1d,common_14,37,piecewise_125,raw_rul,22.843634968163943,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed37,FD001,cnn_1d,common_14,37,piecewise_125,piecewise_125,21.770409516570233,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed53,FD001,cnn_1d,common_14,53,piecewise_125,raw_rul,22.212396917528586,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed53,FD001,cnn_1d,common_14,53,piecewise_125,piecewise_125,21.12630685322562,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed71,FD001,cnn_1d,common_14,71,piecewise_125,raw_rul,22.95941226699039,100,none
kill_v1__fd001__cnn_1d__piecewise_125__common_14__seed71,FD001,cnn_1d,common_14,71,piecewise_125,piecewise_125,22.02924845074858,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed11,FD001,cnn_1d,all_21,11,linear_uncapped,raw_rul,28.657373305118874,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed11,FD001,cnn_1d,all_21,11,linear_uncapped,piecewise_125,28.687954760878668,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed23,FD001,cnn_1d,all_21,23,linear_uncapped,raw_rul,29.741407332169345,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed23,FD001,cnn_1d,all_21,23,linear_uncapped,piecewise_125,29.933793572800816,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed37,FD001,cnn_1d,all_21,37,linear_uncapped,raw_rul,29.299493313944186,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed37,FD001,cnn_1d,all_21,37,linear_uncapped,piecewise_125,29.35456474584025,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed53,FD001,cnn_1d,all_21,53,linear_uncapped,raw_rul,29.723962947993503,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed53,FD001,cnn_1d,all_21,53,linear_uncapped,piecewise_125,29.841949020326027,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed71,FD001,cnn_1d,all_21,71,linear_uncapped,raw_rul,28.204197104335766,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__all_21__seed71,FD001,cnn_1d,all_21,71,linear_uncapped,piecewise_125,28.256212892625516,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed11,FD001,cnn_1d,common_14,11,linear_uncapped,raw_rul,28.81536992190266,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed11,FD001,cnn_1d,common_14,11,linear_uncapped,piecewise_125,28.88996790547463,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed23,FD001,cnn_1d,common_14,23,linear_uncapped,raw_rul,28.079316349660232,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed23,FD001,cnn_1d,common_14,23,linear_uncapped,piecewise_125,28.06642178930049,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed37,FD001,cnn_1d,common_14,37,linear_uncapped,raw_rul,30.534933588890382,100,none
