common_truth,dataset,model,sensor_set,contrast,seed_count,mean_rmse_difference,sd_seed_difference,minimum_seed_difference,maximum_seed_difference
raw_rul,FD001,lstm,all_21,linear_trained-minus-capped_trained,5,1.1746095676039097,3.2176424845146565,-1.6837104785555397,6.053494778601294
raw_rul,FD001,lstm,common_14,linear_trained-minus-capped_trained,5,3.2334817924599486,6.634560598951685,-3.0920582592504893,14.237851845335879
raw_rul,FD001,cnn_1d,all_21,linear_trained-minus-capped_trained,5,6.683261635028294,0.8270803812928212,5.780378582109172,8.03177716309122
raw_rul,FD001,cnn_1d,common_14,linear_trained-minus-capped_trained,5,6.641598340356183,1.115673850014848,5.039958280747484,7.691298620726439
raw_rul,FD001,lightgbm,all_21,linear_trained-minus-capped_trained,5,11.548190447047636,0.0,11.548190447047636,11.548190447047636
raw_rul,FD001,lightgbm,common_14,linear_trained-minus-capped_trained,5,11.919538897274228,0.0,11.919538897274228,11.919538897274228
raw_rul,FD004,lstm,all_21,linear_trained-minus-capped_trained,5,5.151013292971735,0.033334477667436156,5.102400492838441,5.194451396296415
raw_rul,FD004,lstm,common_14,linear_trained-minus-capped_trained,5,5.178257313341332,0.050083571456101025,5.120379645008924,5.243167219441972
raw_rul,FD004,cnn_1d,all_21,linear_trained-minus-capped_trained,5,10.106502316050733,2.332985466782492,6.69804571848772,12.413247492962633
raw_rul,FD004,cnn_1d,common_14,linear_trained-minus-capped_trained,5,8.895727322839438,1.702927967558707,7.2734213972791295,11.66387253303246
raw_rul,FD004,lightgbm,all_21,linear_trained-minus-capped_trained,5,8.378170847019966,0.0,8.378170847019966,8.378170847019966
raw_rul,FD004,lightgbm,common_14,linear_trained-minus-capped_trained,5,8.83532843104857,0.0,8.83532843104857,8.83532843104857
piecewise_125,FD001,lstm,all_21,linear_trained-minus-capped_trained,5,1.624983686605971,3.3176342932703915,-1.3931777474402303,6.699824924016969
piecewise_125,FD001,lstm,common_14,linear_trained-minus-capped_trained,5,3.747458046146627,6.783499399169783,-2.6540680914505543,15.065317707818451
piecewise_125,FD001,cnn_1d,all_21,linear_trained-minus-capped_trained,5,7.7972939302905075,0.920210350992345,6.853543570981795,9.321784515376965
piecewise_125,FD001,cnn_1d,common_14,linear_trained-minus-capped_trained,5,7.754110990891903,1.1405302505606123,6.109080825535994,8.848673518982977
piecewise_125,FD001,lightgbm,all_21,linear_trained-minus-capped_trained,5,13.257512779994297,0.0,13.257512779994297,13.257512779994297
piecewise_125,FD001,lightgbm,common_14,linear_trained-minus-capped_trained,5,13.659428379981208,0.0,13.659428379981208,13.659428379981208
piecewise_125,FD004,lstm,all_21,linear_trained-minus-capped_trained,5,10.283140957737714,0.04626121235862317,10.217524347945272,10.346860019667922
piecewise_125,FD004,lstm,common_14,linear_trained-minus-capped_trained,5,10.317959230716657,0.06563862337685018,10.248543663364885,10.408598899716829
piecewise_125,FD004,cnn_1d,all_21,linear_trained-minus-capped_trained,5,22.56696146624661,2.850510680221985,18.87339855954376,25.566729010452505
piecewise_125,FD004,cnn_1d,common_14,linear_trained-minus-capped_trained,5,20.478231839577152,2.1589658249199575,18.22473190191918,23.876138427989442
piecewise_125,FD004,lightgbm,all_21,linear_trained-minus-capped_trained,5,25.36897448446642,0.0,25.36897448446642,25.36897448446642
piecewise_125,FD004,lightgbm,common_14,linear_trained-minus-capped_trained,5,25.722738316379296,0.0,25.722738316379296,25.722738316379296
